#{"t_start": 1778548220.961131, "env_id": "None"}
r,l,t
1354.0,39,5.349281
1506.0,39,5.367735
2251.0,39,5.385948
1617.0,39,5.404046
1801.0,39,5.421165
1660.0,39,5.43776
1738.0,39,5.453996
1646.0,39,5.470194
1947.0,39,5.488241
1430.0,39,5.505765
1849.0,39,5.522732
1863.0,39,5.540357
1629.0,39,5.557732
1417.0,39,5.576085
1496.0,39,5.593712
1651.0,39,5.612043
1699.0,39,5.629759
1950.0,39,5.647949
1927.0,39,5.66589
1812.0,39,5.683398
1745.0,39,5.700803
1703.0,39,5.718738
1578.0,39,5.735571
1644.0,39,5.753407
2026.0,39,5.771387
1675.0,39,5.788734
1719.0,39,5.805937
1626.0,39,5.824064
1789.0,39,5.841689
1727.0,39,5.859507
1738.0,39,5.876748
1804.0,39,5.894036
1456.0,39,5.911629
1752.0,39,5.927881
1844.0,39,5.945571
1513.0,39,5.963667
1769.0,39,5.980644
1455.0,39,5.996728
1448.0,39,6.013355
2083.0,39,6.030175
1555.0,39,6.047516
1720.0,39,6.064534
1884.0,39,6.08208
1550.0,39,6.099706
1535.0,39,6.116961
1775.0,39,6.134141
1768.0,39,6.151348
1683.0,39,6.168537
1449.0,39,6.185828
1647.0,39,6.203361
2017.0,39,6.221262
1398.0,39,6.23888
1929.0,39,6.256544
1981.0,39,6.274602
1954.0,39,6.291961
1739.0,39,6.309211
1895.0,39,6.327221
1484.0,39,6.344639
1740.0,39,6.36287
2141.0,39,6.380369
1893.0,39,6.397717
1953.0,39,6.41531
1635.0,39,6.433461
1868.0,39,6.451052
1162.0,39,6.468446
1973.0,39,6.486162
1895.0,39,6.503736
1453.0,39,6.52156
1420.0,39,6.539015
2049.0,39,6.55522
1733.0,39,6.571093
1875.0,39,6.58708
1775.0,39,6.604374
1339.0,39,6.622278
1697.0,39,6.64004
1383.0,39,6.657512
1453.0,39,6.675188
1514.0,39,6.69277
2067.0,39,6.710537
1269.0,39,6.727937
1675.0,39,6.746166
1326.0,39,6.763378
1963.0,39,6.781999
1427.0,39,6.798833
1606.0,39,6.816557
1909.0,39,6.834109
1709.0,39,6.851162
1742.0,39,6.869047
1451.0,39,6.88709
1484.0,39,6.904859
1206.0,39,6.923019
1650.0,39,6.94119
1455.0,39,6.95887
1423.0,39,6.976122
1790.0,39,6.994042
1771.0,39,7.011873
1744.0,39,7.029459
1367.0,39,7.04709
1614.0,39,7.065865
1758.0,39,7.083804
1994.0,39,7.101152
1408.0,39,7.117745
1939.0,39,7.134356
1932.0,39,7.151159
1415.0,39,7.168288
1607.0,39,7.18649
1408.0,39,7.204378
1879.0,39,7.222453
1913.0,39,7.239999
1844.0,39,7.257778
1649.0,39,7.275684
1776.0,39,7.293481
1910.0,39,7.311188
1829.0,39,7.328946
2018.0,39,7.346543
2303.0,39,7.364263
1640.0,39,7.382915
1687.0,39,7.400748
1540.0,39,7.41873
1816.0,39,7.435627
1421.0,39,7.45386
2066.0,39,7.471672
1571.0,39,7.489973
1505.0,39,7.50754
1856.0,39,7.525194
1799.0,39,7.542986
1187.0,39,7.561056
1878.0,39,7.579024
2332.0,39,7.5972
1450.0,39,7.615068
2050.0,39,7.632684
1461.0,39,7.650135
1916.0,39,7.668328
1823.0,39,7.686893
1352.0,39,7.704792
1695.0,39,7.722037
1656.0,39,7.739241
1736.0,39,7.756002
1682.0,39,7.772937
1448.0,39,7.790215
1738.0,39,7.807326
1343.0,39,7.824985
1905.0,39,7.842865
1850.0,39,7.860354
1384.0,39,7.877903
2063.0,39,7.895434
1831.0,39,7.913264
1938.0,39,7.931539
1520.0,39,7.94981
1895.0,39,7.96799
1782.0,39,7.985832
1746.0,39,8.004121
1780.0,39,8.022078
1800.0,39,8.039698
1435.0,39,8.057661
1682.0,39,8.075793
1318.0,39,8.093855
1440.0,39,8.111987
1504.0,39,8.13014
2147.0,39,8.14816
1192.0,39,8.166011
1831.0,39,8.184282
1553.0,39,8.202835
1819.0,39,8.220435
1871.0,39,8.238939
1533.0,39,8.256511
1966.0,39,8.27422
1530.0,39,8.290485
1546.0,39,8.307785
