#{"t_start": 1784869580.4589381, "env_id": "None"}
r,l,t,total_score
6.543739,39,4.483834,173
13.4105,39,4.500475,214
7.639844,39,4.517239,183
18.135975,39,4.534085,230
6.862896,39,4.550416,175
3.120612,39,4.567029,125
12.956202,39,4.583679,212
7.949674,39,4.600163,185
3.939512,39,4.617165,137
6.624801,39,4.633978,175
11.344027,39,4.650022,204
5.303387,39,4.667217,163
4.915089,39,4.685433,157
5.949183,39,4.702616,169
5.044704,39,4.718661,154
3.759683,39,4.736444,134
14.093243,39,4.753142,216
6.704166,39,4.769305,175
5.921124,39,4.785523,168
5.730648,39,4.801592,168
13.489865,39,4.818915,214
4.080077,39,4.837508,140
8.828416,39,4.85619,191
4.727339,39,4.875665,151
8.588522,39,4.893504,188
4.932194,39,4.912207,153
4.032458,39,4.930684,140
10.559872,39,4.947023,202
8.988754,39,4.963314,194
4.915979,39,4.979745,159
7.801186,39,4.996194,184
4.505117,39,5.012275,151
7.177764,39,5.028898,178
14.640191,39,5.045166,218
9.111573,39,5.061666,193
6.189314,39,5.07802,172
10.523418,39,5.09451,200
9.849342,39,5.111109,197
6.169867,39,5.127498,170
7.655717,39,5.144284,183
6.859485,39,5.160614,176
12.427949,39,5.177063,210
6.543739,39,5.193724,173
14.671937,39,5.210056,218
4.281805,39,5.226434,144
4.46447,39,5.243225,149
6.076167,39,5.259801,169
19.80706,39,5.276243,234
12.364457,39,5.293006,210
25.288521,39,5.309688,247
5.010327,39,5.325967,157
10.507749,39,5.342551,201
4.016375,39,5.359543,139
7.902055,39,5.376824,185
7.449367,39,5.395738,183
8.549276,39,5.413925,190
8.180612,39,5.43273,186
7.277347,39,5.451113,179
8.240099,39,5.470533,187
15.573926,39,5.492203,223
7.161891,39,5.508511,178
15.505505,39,5.524723,221
4.018877,39,5.541158,137
5.620848,39,5.557346,163
6.249232,39,5.57384,170
6.702469,39,5.59027,173
8.812543,39,5.606572,191
3.106588,39,5.623593,120
10.822729,39,5.640266,203
9.436926,39,5.65679,196
7.906766,39,5.673601,187
9.789535,39,5.690036,198
3.137243,39,5.706254,119
16.716022,39,5.722219,225
4.822482,39,5.738676,154
25.924704,39,5.756788,248
13.733185,39,5.773616,215
4.436962,39,5.790616,146
5.80172,39,5.806936,165
10.07525,39,5.823773,198
6.640674,39,5.840251,175
3.760187,39,5.856602,126
8.259977,39,5.872627,186
15.258553,39,5.889521,220
11.187347,39,5.906278,205
2.729321,39,5.922472,99
4.979813,39,5.939393,153
10.639237,39,5.958435,202
4.446103,39,5.977059,145
6.688293,39,5.996421,175
16.843006,39,6.015304,225
8.144861,39,6.03474,187
13.780804,39,6.053292,215
6.991633,39,6.070389,179
7.815533,39,6.086729,186
7.880551,39,6.10302,184
13.749058,39,6.119164,215
9.536333,39,6.135311,195
7.51286,39,6.151492,183
7.506619,39,6.167236,180
6.716628,39,6.183687,176
20.554532,39,6.202639,236
9.552206,39,6.219418,195
6.392587,39,6.235869,174
8.606901,39,6.252177,189
4.725845,39,6.268259,153
18.469308,39,6.284421,230
5.838072,39,6.301818,169
3.155845,39,6.318717,121
3.891893,39,6.335424,137
16.363881,39,6.35217,224
32.426346,39,6.370585,259
7.452941,39,6.387083,181
6.907104,39,6.404435,176
29.242467,39,6.422337,254
4.616133,39,6.439317,154
14.497334,39,6.456393,218
14.544953,39,6.473506,218
18.863794,39,6.490304,231
6.187278,39,6.507859,169
9.143319,39,6.527465,193
7.484687,39,6.54572,181
7.357703,39,6.564638,181
12.290602,39,6.583517,209
5.482421,39,6.602081,160
31.352303,39,6.620672,258
4.761905,39,6.638296,150
14.843168,39,6.654764,219
9.015824,39,6.671582,192
11.432143,39,6.68847,206
9.369707,39,6.704757,194
18.209176,39,6.721942,229
4.113044,39,6.738618,141
9.175065,39,6.755112,193
10.364892,39,6.771494,201
8.398046,39,6.788033,188
8.49579,39,6.804188,189
7.639844,39,6.820796,183
5.509737,39,6.83769,163
9.175065,39,6.855049,193
3.874292,39,6.872228,138
14.560826,39,6.888961,218
6.684882,39,6.9059,176
17.090786,39,6.922759,226
13.109212,39,6.939832,213
7.411381,39,6.956801,180
7.433836,39,6.974167,182
12.681529,39,6.991213,211
11.169424,39,7.007849,204
4.972621,39,7.024328,156
5.493864,39,7.041554,163
5.23344,39,7.058897,159
5.921124,39,7.075447,168
8.085374,39,7.093814,186
15.726993,39,7.112526,222
4.309117,39,7.131751,143
4.127696,39,7.150356,140
6.764247,39,7.16856,176
5.573229,39,7.187077,163
8.84429,39,7.205236,191
9.552206,39,7.22126,195
6.614809,39,7.237346,174
11.187347,39,7.25379,205
13.764931,39,7.270631,215
4.349652,39,7.287479,147
10.523418,39,7.304421,200
4.488155,39,7.32086,144
9.568079,39,7.337333,195
4.571874,39,7.35459,147
5.810013,39,7.371654,168
9.611529,39,7.388006,196
3.831058,39,7.404296,136
2.374565,39,7.42054,86
6.448501,39,7.436441,173
11.606747,39,7.453099,206
8.920586,39,7.47001,192
11.872159,39,7.486107,207
21.872289,39,7.503296,239
11.234966,39,7.519767,205
6.700755,39,7.536207,176
13.220323,39,7.552655,213
15.537251,39,7.569282,221
7.395508,39,7.58601,180
7.576694,39,7.602866,182
37.446803,39,7.619695,267
15.457886,39,7.636427,221
5.738228,39,7.654142,165
3.452324,39,7.673933,130
7.023379,39,7.693058,179
14.608445,39,7.71123,218
5.113126,39,7.730393,158
10.867836,39,7.748694,204
7.29322,39,7.766468,179
7.50056,39,7.783301,181
3.041442,39,7.800078,118
12.459695,39,7.816645,210
8.448171,39,7.833031,189
15.822231,39,7.849322,222
5.942782,39,7.86563,167
5.106842,39,7.881625,152
6.038021,39,7.898377,167
7.182109,39,7.914881,179
4.916365,39,7.931095,152
12.924456,39,7.948159,212
2.51982,39,7.965128,102
11.88844,39,7.981872,208
5.387183,39,7.999348,160
6.858602,39,8.016478,177
6.95384,39,8.033252,177
8.196485,39,8.049964,186
10.940824,39,8.066279,202
3.268123,39,8.082988,126
8.591028,39,8.100307,189
5.049634,39,8.117219,158
8.19248,39,8.133625,187
12.459695,39,8.149937,210
4.405216,39,8.166279,146
9.079316,39,8.182472,192
7.50056,39,8.198485,181
12.300965,39,8.217125,210
11.66581,39,8.235606,207
8.11712,39,8.253924,186
12.427949,39,8.272731,210
5.541483,39,8.291441,163
3.61733,39,8.310516,126
10.106996,39,8.328775,198
13.05144,39,8.345349,212
6.141695,39,8.362007,172
2.898974,39,8.378206,116
11.479762,39,8.394282,206
4.277371,39,8.410317,143
7.76944,39,8.427764,184
10.091123,39,8.444204,198
10.931328,39,8.460867,204
5.027432,39,8.47757,153
13.442246,39,8.494291,214
3.985403,39,8.510667,138
13.521611,39,8.527743,214
13.019694,39,8.544141,212
16.208847,39,8.560322,223
4.293244,39,8.576594,143
8.723879,39,8.592613,190
9.004627,39,8.608998,194
4.979857,39,8.625344,152
8.739752,39,8.642041,190
3.771071,39,8.658301,132
7.806817,39,8.674562,185
4.666667,39,8.69094,150
11.681683,39,8.707074,207
9.190938,39,8.723447,193
3.667107,39,8.740499,129
10.940824,39,8.756869,202
4.048121,39,8.773864,139
24.311178,39,8.795055,244
6.694174,39,8.838122,174
4.28991,39,8.8571,142
16.034244,39,8.876376,223
7.167227,39,8.895239,181
5.78176,39,8.91246,164
7.252651,39,8.929144,180
5.028831,39,8.945568,154
8.936459,39,8.961592,192
8.606901,39,8.978046,189
12.876837,39,8.994079,212
4.80521,39,9.010687,153
6.907104,39,9.027077,176
10.158338,39,9.043551,200
18.113938,39,9.060691,229
6.630682,39,9.078657,174
12.63391,39,9.13133,211
3.649076,39,9.147914,126
20.554532,39,9.164637,236
11.813096,39,9.181696,206
8.692133,39,9.198381,190
15.505505,39,9.214949,221
